Marca temporal;  ¿Cuál es su edad?  ;¿Con qué género se identifica usted?  ;  ¿En qué comuna reside actualmente?  ;  Alojamiento y estadía  ;Responda esta pregunta solo si en la anterior seleccionó “Sí”.  ;¿Qué tipo de alojamiento utilizó?  ;Transporte: $  ;Alojamiento: $  ;Alimentación: $  ;Compras (vino, recuerdos, artesanías): $  ;Seguridad ;Limpieza  ;Comodidad  ;Programación artística  ;Acceso a baños  ;"¿Estás de acuerdo con la afirmación: ""La Vendimia refuerza la identidad cultural de San Fernando""? "
05-03-2025 19:25;55;;Santiago ;Sí;2;Casa de amigos o familiares;50000;0;100000;60000;5;5;5;3;5;5
05-03-2025 19:27;49;;San Fernando;No;0;Casa de amigos o familiares;2000;0;7000;13000;5;5;5;4;4;5
05-03-2025 19:28;54;;San Fernando;No;0;Casa de amigos o familiares;2000;0;10000;13000;4;5;5;5;5;5
05-03-2025 19:32;48;;Chimbarongo;No;0;Casa de amigos o familiares;8000;0;10000;13000;5;5;5;5;5;5
05-03-2025 19:33;48;;Chimbarongo;No;0;Viene por el dia;10000;0;15000;20000;5;5;5;4;4;5
05-03-2025 19:35;30;;San Fernando;No;0;Casa de amigos o familiares;0;0;10000;15000;5;5;5;3;4;5
05-03-2025 19:36;65;;San Fernando;No;0;Casa de amigos o familiares;3000;0;10000;0;5;4;5;4;3;5
05-03-2025 19:38;32;;San Fernando;No;0;Casa de amigos o familiares;0;0;12000;20000;5;5;5;4;5;5
05-03-2025 19:40;18;;San Fernando;No;0;Casa de amigos o familiares;0;0;0;0;5;4;5;5;4;5
05-03-2025 19:40;57;;Talagante;No;0;Casa de amigos o familiares;18000;0;15000;100000;5;5;5;4;5;5
05-03-2025 19:44;54;;San Fernando;No;0;Casa de amigos o familiares;0;0;50000;50000;5;5;5;3;3;5
05-03-2025 19:46;36;;San Fernando;No;0;Casa de amigos o familiares;0;0;10000;10000;5;5;4;3;4;5
05-03-2025 19:47;26;;San Fernando;No;0;Casa de amigos o familiares;0;0;5000;0;1;4;4;3;4;5
05-03-2025 19:52;43;;Santiago ;No;0;Casa de amigos o familiares;30000;0;15000;26000;5;5;5;5;1;5
05-03-2025 19:55;49;;San Fernando;No;0;Casa de amigos o familiares;4000;0;20000;15000;5;5;5;3;3;5
05-03-2025 19:55;18;;San Fernando;No;0;Casa de amigos o familiares;1000;0;10000;0;5;5;5;3;4;5
05-03-2025 19:58;34;;San Fernando;No;0;Casa de amigos o familiares;5000;0;15000;20000;5;5;5;5;5;5
05-03-2025 19:58;33;;San Fernando;No;0;Casa de amigos o familiares;3000;0;15000;40000;5;5;5;4;3;5
05-03-2025 20:04;56;;San Fernando;No;0;Casa de amigos o familiares;0;0;100000;60000;5;3;5;4;4;5
05-03-2025 20:06;19;;San Fernando;No;0;Casa de amigos o familiares;0;0;0;0;5;5;5;5;5;5
05-03-2025 20:07;65;;Santa Cruz ;Sí;2;Casa de amigos o familiares;20000;0;50000;66000;5;5;5;5;5;5
05-03-2025 20:08;26;;San Fernando;No;0;Casa de amigos o familiares;0;0;20000;10000;5;5;5;3;3;5
05-03-2025 20:12;20;;San Fernando;No;0;Casa de amigos o familiares;5000;0;10000;15000;5;5;5;5;5;5
05-03-2025 20:13;30;;Santiago;Sí;1;Casa de amigos o familiares;20000;0;50000;60000;5;5;4;3;3;5
05-03-2025 20:19;58;;San Fernando;No;0;Casa de amigos o familiares;2000;0;5000;10000;5;5;5;5;5;5
05-03-2025 20:19;60;;San Fernando;No;0;Casa de amigos o familiares;0;0;20000;20000;5;4;5;3;5;5
05-03-2025 20:21;26;;San Fernando;No;0;Casa de amigos o familiares;0;0;20000;20000;5;5;5;1;5;5
05-03-2025 20:26;40;;La florida;No;0;Casa de amigos o familiares;50000;0;30000;30000;5;5;3;3;5;5
05-03-2025 20:27;72;;Santiago ;Sí;1;Casa de amigos o familiares;30000;0;10000;50000;4;3;5;3;3;5
05-03-2025 20:27;49;;Renca;No;0;Casa de amigos o familiares;20000;0;20000;30000;5;5;4;3;5;5
05-03-2025 20:29;45;;Santiago ;Sí;1;Casa de amigos o familiares;25000;0;25000;30000;5;5;5;5;5;5
05-03-2025 20:42;59;;Chimbarongo ;No;0;Casa de amigos o familiares;8000;0;15000;20000;5;4;4;3;4;5
05-03-2025 20:42;20;;San Fernando;No;0;Casa de amigos o familiares;0;0;20000;30000;5;5;5;5;5;5
05-03-2025 20:44;47;;Chimbarongo ;Sí;2;Casa de amigos o familiares;10000;0;20000;15000;5;5;5;5;5;5
05-03-2025 20:46;39;;San Fernando;No;0;Casa de amigos o familiares;5000;0;15000;40000;4;5;5;4;4;5
05-03-2025 20:48;34;;San Fernando;No;0;Casa de amigos o familiares;10000;0;10000;50000;5;5;5;3;5;5
05-03-2025 20:50;37;;San Fernando;No;0;Casa de amigos o familiares;5000;0;30000;30000;5;5;5;4;5;5
05-03-2025 20:52;38;;San Fernando;No;0;Casa de amigos o familiares;20000;0;20000;20000;5;5;5;4;3;5
05-03-2025 20:54;20;;San Fernando;No;0;Casa de amigos o familiares;5000;0;20000;0;4;4;4;3;4;4
05-03-2025 20:54;42;;San Fernando;No;0;Casa de amigos o familiares;10000;0;40000;20000;4;5;4;3;3;5
05-03-2025 20:57;18;;San Fernando;No;0;Casa de amigos o familiares;0;0;0;5000;5;4;4;5;4;5
05-03-2025 20:57;18;;San Fernando;No;0;Casa de amigos o familiares;0;0;30000;20000;5;5;5;3;3;5
